mat alpha																
Synced to SGD on Sat Jul  8 00:51:38 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	go term	record no.	strain	batch	rg notes	consortium notes	bob's notes from 9/2004	
1	A	2	YAL068C	PAU8	seripauperin PAU8	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions	meiotic cell cycle, sporulation, transcription from RNA polymerase II promoter	molecular_function	cellular_component	"RNA metabolic process, cellular_component, molecular_function, sporulation, transcription"	10338	BY4739	01_1	
1	A	3	YAL067C	SEO1	putative permease SEO1	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	other	other	membrane	"membrane, transport, transporter activity"	10339	BY4739	01_1	
1	A	4	YAL066W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"	10340	BY4739	01_1	
1	A	5	YAL065C	-	-	Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"	10341	BY4739	01_1	
1	A	6	YAL062W	GDH3	glutamate dehydrogenase (NADP(+)) GDH3|FUN51	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication	cellular amino acid metabolic process	oxidoreductase activity	nucleus, mitochondrion, cytoplasm	"amino acid and derivative metabolic process, mitochondrion, nucleus, other, oxidoreductase activity"	10345	BY4739	01_1	
1	A	7	YAL061W	BDH2	putative dehydrogenase BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	biological_process	oxidoreductase activity	nucleus, cytoplasm	"biological_process, cytoplasm, nucleus, oxidoreductase activity"	10346	BY4739	01_1	
1	A	8	YAL060W	BDH1	(R,R)-butanediol dehydrogenase|BDH	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source	other	oxidoreductase activity	cytoplasm	"cytoplasm, other, oxidoreductase activity"	10347	BY4739	01_1	
1	A	9	YAL059W	ECM1	-	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	ribosomal subunit export from nucleus, nuclear transport	molecular_function	nucleus, nucleolus	"cell wall organization and biogenesis, molecular_function, nucleolus, nucleus, organelle organization and biogenesis, ribosome biogenesis, transport"	10348	BY4739	01_1	
1	A	10	YAL058W	CNE1	calnexin|FUN48	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast	response to chemical, proteolysis involved in cellular protein catabolic process, protein folding	unfolded protein binding	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	"cytoplasm, endomembrane system, endoplasmic reticulum, membrane, protein binding, protein catabolic process, protein folding"	10349	BY4739	01_1	
1	A	11	YAL056W	GPB2	KRH1	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication	meiotic cell cycle, response to chemical, invasive growth in response to glucose limitation, sporulation, pseudohyphal growth, transcription from RNA polymerase II promoter, signaling	enzyme regulator activity, signal transducer activity	mitochondrion, membrane, cytoplasm, plasma membrane	"RNA metabolic process, cytoplasm, enzyme regulator activity, mitochondrion, other, plasma membrane, protein binding, pseudohyphal growth, response to chemical stimulus, signal transducer activity, signal transduction, sporulation, transcription"	10351	BY4739	01_1	
1	A	12	YAL055W	PEX22	ubiquitin-protein transferase activating protein PEX22|YAF5	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation	protein targeting, transmembrane transport, peroxisome organization, regulation of protein modification process, protein modification by small protein conjugation or removal, signaling	enzyme regulator activity	peroxisome, membrane, cytoplasm	"cytoplasm, membrane, organelle organization and biogenesis, peroxisome, protein binding, signal transduction, transport"	10352	BY4739	01_1	
1	B	1	YAL053W	FLC2	flavin adenine dinucleotide transporter FLC2|HUF2	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication	transmembrane transport, ion transport, nucleobase-containing compound transport, lipid metabolic process, protein folding, cell wall organization or biogenesis, response to osmotic stress	transmembrane transporter activity	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	"cell wall organization and biogenesis, cytoplasm, endoplasmic reticulum, protein folding, transport, transporter activity"	10354	BY4739	01_1	
1	B	2	YAL051W	OAF1	oleate-activated transcription factor OAF1|YAF1	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication	response to chemical, lipid metabolic process, chromatin organization, transcription from RNA polymerase II promoter, monocarboxylic acid metabolic process	nucleic acid binding transcription factor activity, DNA binding	nucleus	"DNA binding, lipid metabolic process, nucleus, organelle organization and biogenesis, response to chemical stimulus, transcription, transcription regulator activity"	10355	BY4739	01_1	
1	B	3	YAL049C	AIM2	protein AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	biological_process	molecular_function	cytoplasm	"biological_process, cytoplasm, molecular_function"	10356	BY4739	01_1	
1	B	4	YAL048C	GEM1	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases	mitochondrion organization, regulation of organelle organization, organelle inheritance	GTPase activity, hydrolase activity, ion binding	endomembrane system, mitochondrion, membrane, mitochondrial envelope, endoplasmic reticulum, cytoplasm	"cytoplasm, hydrolase activity, membrane, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, vesicle-mediated transport"	10357	BY4739	01_1	
1	B	5	YAL046C	BOL3	AIM1	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)	protein maturation	molecular_function	mitochondrion, cytoplasm	"biological_process, cellular_component, molecular_function"	10359	BY4739	01_1	
1	B	6	YAL045C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"	10360	BY4739	01_1	
1	B	7	YAL044C	GCV3	glycine decarboxylase subunit H	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF	cellular amino acid metabolic process	oxidoreductase activity	mitochondrion, cytoplasm	"amino acid and derivative metabolic process, cytoplasm, mitochondrion, other, oxidoreductase activity"	10361	BY4739	01_1	
1	B	8	YAL042W	ERV46	FUN9	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport	Golgi vesicle transport	molecular_function	membrane, cytoplasmic vesicle, endomembrane system, endoplasmic reticulum, cytoplasm, Golgi apparatus	"Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, endomembrane system, endoplasmic reticulum, membrane, molecular_function, transport, vesicle-mediated transport"	10363	BY4739	01_1	
1	B	9	YAL042C-A	-	YAL043C-A	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"	10364	BY4739	01_1	
1	B	10	YAL040C	CLN3	cyclin CLN3|WHI1|FUN10|DAF1	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1	vacuole organization, mitotic cell cycle, protein phosphorylation, organelle fusion, membrane fusion, regulation of protein modification process, regulation of cell cycle	enzyme regulator activity	nucleus	"cell cycle, enzyme regulator activity, membrane organization and biogenesis, nucleus, organelle organization and biogenesis, other"	10366	BY4739	01_1	
1	B	11	YAL037W	-	-	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"	10369	BY4739	01_1	
1	B	12	YAL036C	RBG1	GTP-binding protein RBG1|FUN11	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	cytoplasmic translation, response to starvation	ion binding	ribosome, cytoplasm	"cytoplasm, other, ribosome biogenesis"	10370	BY4739	01_1	
1	C	1	YAL035W	FUN12	translation initiation factor eIF5B|eIF5B|yIF2	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2	cytoplasmic translation, translational initiation, regulation of translation, rRNA processing, organelle assembly, ribosomal small subunit biogenesis, ribosome assembly	RNA binding, GTPase activity, hydrolase activity, ion binding, translation factor activity, RNA binding	ribosome, mitochondrion, cytoplasm	"cytoplasm, hydrolase activity, mitochondrion, ribosome, translation, translation regulator activity"	10371	BY4739	01_1	
1	C	2	YAL034C	FUN19	-	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"	10374	BY4739	01_1	
1	C	3	YAL031C	GIP4	protein phosphatase regulator GIP4|FUN21	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	regulation of protein modification process, protein dephosphorylation, chromosome segregation	enzyme binding, enzyme regulator activity	cytoplasm	"cytoplasm, enzyme regulator activity, other, protein binding"	10377	BY4739	01_1	
